Nom_produit_ldlc,Nom_produit_topachat,Prix (€) ldlc,Prix (€) topachat,Prix Moyen (€),Chipset Graphique,Marque,Quantité Mémoire (Go),Type Mémoire,Bus,Longueur,Largeur,Epaisseur,Type du GPU
gigabyte radeon rx 6500 xt gaming oc 4g,gigabyte radeon rx 6500 xt gaming oc ,249.95,239.99,244.97,radeon rx 6500,gigabyte,4,gddr6,pci express 4.0,282.0,114.0,40.0,radeon
zotac geforce rtx 4090 trinity oc,zotac geforce rtx 4090 trinity oc,2099.95,2079.99,2089.97,geforce rtx 4090,zotac,24,gddr6x,pci express 4.0,356.0,165.0,71.0,geforce
kfa2 geforce rtx 4090 sg (1-click oc),kfa2 geforce rtx 4090 sg,2079.95,2079.99,2079.97,geforce rtx 4090,kfa2,24,gddr6x,pci express 4.0,352.0,153.0,74.0,geforce
asus radeon rx7900xtx-24g,asus radeon rx 7900 xtx,1349.95,1329.99,1339.97,radeon rx 7900,asus,24,gddr6,pci express 4.0,287.0,123.0,51.0,radeon
asus radeon rx7900xt-20g,asus radeon rx 7900 xt,1199.95,1189.99,1194.97,radeon rx 7900,asus,20,gddr6,pci express 4.0,276.0,113.0,51.0,radeon
gigabyte geforce rtx 4080 eagle 16g,gigabyte geforce rtx 4080 eagle (16 go),1579.94,1559.99,1569.9650000000001,geforce rtx 4080,gigabyte,16,gddr6x,pci express 4.0,342.0,150.0,70.0,geforce
gigabyte radeon rx 7900 xtx 24g,gigabyte radeon rx 7900 xtx,1199.95,1189.99,1194.97,radeon rx 7900,gigabyte,24,gddr6,pci express 4.0,287.0,123.0,51.0,radeon
kfa2 geforce rtx 4090 st v2 (1-click oc),kfa2 geforce rtx 4090 st v2 (1-click oc),1949.95,1949.99,1949.97,geforce rtx 4090,kfa2,24,gddr6x,pci express 4.0,352.0,153.0,74.0,geforce
asus rog strix geforce rtx 4090 white oc edition 24gb,asus geforce rtx 4090 rog strix o24g white,2499.95,2479.99,2489.97,geforce rtx 4090,asus,24,gddr6x,pci express 4.0,358.0,149.0,70.0,geforce
msi geforce rtx 4070 ti ventus 3x 12g oc,msi geforce rtx 4070 ti ventus 3x oc (12 go),899.95,899.99,899.97,geforce rtx 4070,msi,12,gddr6x,pci express 4.0,308.0,123.0,52.0,geforce
kfa2 geforce rtx 4070 ti st (1-click oc),kfa2 geforce rtx 4070 ti st (1-click oc) (12 go),1199.95,1199.99,1199.97,geforce rtx 4070,kfa2,12,gddr6x,pci express 4.0,336.0,148.0,62.0,geforce
pny geforce rtx 4070 ti 12gb verto triple fan,pny geforce rtx 4070 ti verto triple fan (12 go),1029.95,1029.99,1029.97,geforce rtx 4070,pny,12,gddr6x,pci express 4.0,305.0,119.0,61.0,geforce
pny geforce rtx 4070 ti 12gb xlr8 gaming verto,pny geforce rtx 4070 ti xlr8 gaming verto (12 go),1089.95,1089.99,1089.97,geforce rtx 4070,pny,12,gddr6x,pci express 4.0,332.0,137.0,66.0,geforce
asus tuf gaming geforce rtx 4070 ti 12gb,asus geforce rtx 4070 ti tuf 12g gaming (12 go),899.95,899.99,899.97,geforce rtx 4070,asus,12,gddr6x,pci express 4.0,305.0,138.0,65.0,geforce
msi geforce rtx 4070 ti suprim x 12g,msi geforce rtx 4070 ti suprim x (12 go),1159.94,1149.99,1154.9650000000001,geforce rtx 4070,msi,12,gddr6x,pci express 4.0,338.0,142.0,73.0,geforce
gainward geforce rtx 4090 phantom gs,gainward geforce rtx 4090 phantom gs,2079.95,2079.99,2079.97,geforce rtx 4090,gainward,24,gddr6x,pci express 4.0,329.0,142.0,70.0,geforce
msi geforce rtx 4080 gaming trio 16g,msi geforce rtx 4080 gaming trio (16 go),1549.94,1529.99,1539.9650000000001,geforce rtx 4080,msi,16,gddr6x,pci express 4.0,337.0,140.0,67.0,geforce
