Nom_produit,Chipset Graphique,Marque,Quantité Mémoire (Go),Type Mémoire,Bus,Prix (€),Site Internet,Longueur,Largeur,Epaisseur,Type du GPU
gigabyte geforce rtx 3070 gaming oc rev 2.0 (lhr),geforce rtx 3070,gigabyte,8,gddr6,pci express 4.0,699.99,topachat.com,286.0,115.0,51.0,geforce
asus radeon rx 6750 xt dual o12g ,radeon rx 6750,asus,12,gddr6,pci express 4.0,549.99,topachat.com,295.0,139.0,55.0,radeon
evga geforce rtx 3070 ftw3 ultra gaming (lhr),geforce rtx 3070,evga,8,gddr6,pci express 4.0,699.99,topachat.com,300.0,136.75,2.8,geforce
gigabyte  radeon rx 6650 xt eagle ,radeon rx 6650,gigabyte,8,gddr6,pci express 4.0,389.99,topachat.com,282.0,113.0,41.0,radeon
msi geforce rtx 3070 ti ventus 3x oc (lhr),geforce rtx 3070,msi,8,gddr6x,pci express 4.0,819.99,topachat.com,316.0,121.0,56.0,geforce
asus geforce rtx 4070 ti tuf o12g gaming (12 go),geforce rtx 4070,asus,12,gddr6x,pci express 4.0,1099.99,topachat.com,305.0,138.0,65.0,geforce
msi geforce rtx 3050 aero itx (lhr),geforce rtx 3050,msi,8,gddr6,pci express 4.0,369.99,topachat.com,172.0,125.0,43.0,geforce
aorus geforce rtx 4090 xtreme waterforce,geforce rtx 4090,aorus,24,gddr6x,pci express 4.0,2499.99,topachat.com,-1.0,-1.0,-1.0,geforce
zotac geforce rtx 4090 trinity,geforce rtx 4090,zotac,24,gddr6x,pci express 4.0,1949.99,topachat.com,356.1,150.1,71.4,geforce
msi geforce rtx 3080 gaming z trio (lhr),geforce rtx 3080,msi,10,gddr6x,pci express 4.0,959.99,topachat.com,323.0,140.0,56.0,geforce
gigabyte geforce gtx 1630 oc low profile,geforce gtx 1630,gigabyte,4,gddr6,pci express 3.0,209.99,topachat.com,166.9,69.0,39.0,geforce
asus geforce gtx 1630 phoenix,geforce gtx 1630,asus,4,gddr6,pci express 3.0,199.99,topachat.com,170.0,126.0,39.0,geforce
msi geforce rtx 3060 ti ventus 2x v1 (lhr),geforce rtx 3060,msi,8,gddr6,pci express 4.0,589.99,topachat.com,235.0,124.0,42.0,geforce
asus geforce rtx 4090 rog strix o24g gaming,geforce rtx 4090,asus,24,gddr6x,pci express 4.0,2429.99,topachat.com,-1.0,-1.0,-1.0,geforce
asus geforce rtx 3060 dual o12g v2 (12 go) (lhr),geforce rtx 3060,asus,12,gddr6,pci express 4.0,419.99,topachat.com,200.0,123.0,38.0,geforce
msi geforce rtx 3060 ti gaming x (lhr),geforce rtx 3060,msi,8,gddr6,pci express 4.0,599.99,topachat.com,278.0,135.0,51.0,geforce
msi geforce rtx 3060 ti ventus 3x oc (lhr),geforce rtx 3060,msi,8,gddr6,pci express 4.0,599.99,topachat.com,316.0,120.0,42.0,geforce
gigabyte geforce rtx 3070 ti gaming oc (lhr),geforce rtx 3070,gigabyte,8,gddr6x,pci express 4.0,779.99,topachat.com,320.0,129.0,55.0,geforce
asus geforce rtx 4070 ti rog strix o12g gaming (12 go),geforce rtx 4070,asus,12,gddr6x,pci express 4.0,1219.99,topachat.com,336.0,150.0,63.0,geforce
gigabyte geforce rtx 3070 eagle oc rev 2.0 (lhr),geforce rtx 3070,gigabyte,8,gddr6,pci express 4.0,689.99,topachat.com,282.0,115.0,41.0,geforce
gainward geforce rtx 3080 phoenix (lhr),geforce rtx 3080,gainward,10,gddr6x,pci express 4.0,919.99,topachat.com,294.0,112.0,56.0,geforce
sapphire radeon rx 6800 xt pulse ,radeon rx 6800,sapphire,16,gddr6,pci express 4.0,699.99,topachat.com,-1.0,-1.0,-1.0,radeon
asus geforce rtx 4070 ti rog strix 12g gaming (12 go),geforce rtx 4070,asus,12,gddr6x,pci express 4.0,1189.99,topachat.com,336.0,150.0,63.0,geforce
asus geforce gtx 1650 tuf o4gd6-p-gaming,geforce gtx 1650,asus,4,gddr6,pci express 3.0,239.99,topachat.com,204.5,124.9,45.6,geforce
sapphire radeon rx 6500 xt pulse gaming oc ,radeon rx 6500,sapphire,4,gddr6,pci express 4.0,249.99,topachat.com,194.0,120.0,39.8,radeon
pny geforce rtx 4090 xlr8 verto epic-x rgb,geforce rtx 4090,pny,24,gddr6x,pci express 4.0,1949.99,topachat.com,330.2,127.0,50.8,geforce
asus geforce rtx 4090 rog strix 24g gaming,geforce rtx 4090,asus,24,gddr6x,pci express 4.0,2399.99,topachat.com,-1.0,-1.0,-1.0,geforce
gigabyte geforce rtx 4090 windforce 24g,geforce rtx 4090,gigabyte,24,gddr6x,pci express 4.0,1959.99,topachat.com,331.0,150.0,70.0,geforce
