Nom_produit,Chipset Graphique,Marque,Quantité Mémoire (Go),Type Mémoire,Bus,Prix (€),Site Internet,Longueur,Largeur,Epaisseur,Type du GPU
gigabyte geforce rtx 3070 eagle oc 8g (rev. 2.0) (lhr),geforce rtx 3070,gigabyte,8,gddr6,pci express 4.0,699.95,ldlc.com,282.0,115.0,41.0,geforce
gigabyte geforce rtx 3070 gaming oc 8g (rev. 2.0) (lhr),geforce rtx 3070,gigabyte,8,gddr6,pci express 4.0,719.95,ldlc.com,286.0,115.0,51.0,geforce
gigabyte geforce rtx 4080 eagle 16g,geforce rtx 4080,gigabyte,16,gddr6x,pci express 4.0,1579.94,ldlc.com,342.0,150.0,70.0,geforce
gigabyte geforce rtx 4090 windforce 24g,geforce rtx 4090,gigabyte,24,gddr6x,pci express 4.0,2049.95,ldlc.com,331.0,150.0,70.0,geforce
gigabyte geforce rtx 4090 xtreme waterforce 24g,geforce rtx 4090,gigabyte,24,gddr6x,pci express 4.0,2499.95,ldlc.com,238.0,141.0,40.0,geforce
gigabyte radeon rx 6400 d6 low profile 4g,radeon rx 6400,gigabyte,4,gddr6,pci express 4.0,229.96,ldlc.com,182.0,69.0,36.0,radeon
gigabyte radeon rx 6500 xt gaming oc 4g,radeon rx 6500,gigabyte,4,gddr6,pci express 4.0,249.95,ldlc.com,282.0,114.0,40.0,radeon
gigabyte radeon rx 6650 xt eagle 8g,radeon rx 6650,gigabyte,8,gddr6,pci express 4.0,399.95,ldlc.com,282.0,113.0,41.0,radeon
gigabyte radeon rx 7900 xt 20g,radeon rx 7900,gigabyte,20,gddr6,pci express 4.0,1129.96,ldlc.com,276.0,113.0,51.0,radeon
gigabyte radeon rx 7900 xtx 24g,radeon rx 7900,gigabyte,24,gddr6,pci express 4.0,1199.95,ldlc.com,287.0,123.0,51.0,radeon
kfa2 geforce rtx 3050 ex (1-click oc) lhr,geforce rtx 3050,kfa2,8,gddr6,pci express 4.0,319.96,ldlc.com,224.0,133.0,44.0,geforce
kfa2 geforce rtx 3060 (1-click oc) lhr,geforce rtx 3060,kfa2,12,gddr6,pci express 4.0,429.95,ldlc.com,258.0,126.0,41.5,geforce
kfa2 geforce rtx 4080 sg (1-click oc),geforce rtx 4080,kfa2,16,gddr6x,pci express 4.0,1599.95,ldlc.com,352.0,138.0,66.0,geforce
kfa2 geforce rtx 4070 ti st (1-click oc),geforce rtx 4070,kfa2,12,gddr6x,pci express 4.0,1199.95,ldlc.com,336.0,148.0,62.0,geforce
kfa2 geforce rtx 4090 sg (1-click oc),geforce rtx 4090,kfa2,24,gddr6x,pci express 4.0,2079.95,ldlc.com,352.0,153.0,74.0,geforce
kfa2 geforce rtx 4090 st v2 (1-click oc),geforce rtx 4090,kfa2,24,gddr6x,pci express 4.0,1949.95,ldlc.com,352.0,153.0,74.0,geforce
kfa2 geforce rtx 3050 ex (1-click oc) lhr + kfa2 gaming slider 02,geforce rtx 3050,kfa2,8,gddr6,pci express 4.0,319.94,ldlc.com,224.0,133.0,44.0,geforce
msi geforce gt 1030 aero itx 2gd4 oc,geforce gt 1030,msi,2,ddr4,pci express 3.0,127.96,ldlc.com,147.0,102.0,38.0,geforce
msi geforce rtx 3050 aero itx 8g oc lhr,geforce rtx 3050,msi,8,gddr6,pci express 4.0,389.95,ldlc.com,172.0,125.0,43.0,geforce
msi geforce rtx 3050 ventus 2x 8g lhr,geforce rtx 3050,msi,8,gddr6,pci express 4.0,389.95,ldlc.com,235.0,124.0,42.0,geforce
msi geforce rtx 3050 ventus 2x 8g oc lhr,geforce rtx 3050,msi,8,gddr6,pci express 4.0,389.95,ldlc.com,235.0,124.0,42.0,geforce
msi geforce rtx 3060 ti ventus 2x 8g ocv1 lhr,geforce rtx 3060,msi,8,gddr6,pci express 4.0,599.95,ldlc.com,235.0,124.0,42.0,geforce
msi geforce rtx 3060 ventus 3x 12g oc lhr,geforce rtx 3060,msi,12,gddr6,pci express 4.0,599.95,ldlc.com,316.0,120.0,42.0,geforce
msi geforce rtx 4070 ti suprim x 12g,geforce rtx 4070,msi,12,gddr6x,pci express 4.0,1159.94,ldlc.com,338.0,142.0,73.0,geforce
msi geforce rtx 4080 suprim x 16g,geforce rtx 4080,msi,16,gddr6x,pci express 4.0,1649.95,ldlc.com,336.0,142.0,78.0,geforce
msi geforce rtx 4090 suprim x 24g,geforce rtx 4090,msi,24,gddr6x,pci express 4.0,2229.95,ldlc.com,336.0,142.0,78.0,geforce
msi radeon rx 6400 aero itx 4g,radeon rx 6400,msi,4,gddr6,pci express 4.0,169.96,ldlc.com,172.0,112.0,39.0,radeon
msi radeon rx 6650 xt gaming x 8g,radeon rx 6650,msi,8,gddr6,pci express 4.0,499.96,ldlc.com,278.0,130.0,51.0,radeon
msi geforce rtx 3070 ti ventus 3x 8g oc lhr,geforce rtx 3070,msi,8,gddr6x,pci express 4.0,829.96,ldlc.com,316.0,121.0,56.0,geforce
msi geforce rtx 3080 gaming z trio 10g lhr,geforce rtx 3080,msi,10,gddr6x,pci express 4.0,979.96,ldlc.com,323.0,140.0,56.0,geforce
msi geforce gt 1030 2ghd4 lp oc,geforce gt 1030,msi,2,ddr4,pci express 3.0 16x ,129.95,ldlc.com,153.0,69.0,38.0,geforce
msi geforce gtx 1650 ventus xs 4g oc,geforce gtx 1650,msi,4,gddr5,pci express 3.0,229.96,ldlc.com,177.0,111.0,38.0,geforce
msi geforce rtx 3050 aero itx 8g lhr,geforce rtx 3050,msi,8,gddr6,pci express 4.0,379.96,ldlc.com,172.0,125.0,43.0,geforce
msi geforce rtx 3050 gaming x 8g lhr,geforce rtx 3050,msi,8,gddr6,pci express 4.0,439.94,ldlc.com,278.0,130.0,49.0,geforce
msi geforce rtx 3060 ti gaming x 8g lhr,geforce rtx 3060,msi,8,gddr6,pci express 4.0,619.96,ldlc.com,278.0,131.0,51.0,geforce
msi geforce rtx 3060 ti ventus 2x 8g v1 lhr,geforce rtx 3060,msi,8,gddr6,pci express 4.0,599.95,ldlc.com,235.0,124.0,42.0,geforce
msi geforce rtx 3060 ti ventus 3x 8g oc lhr,geforce rtx 3060,msi,8,gddr6,pci express 4.0,609.95,ldlc.com,316.0,120.0,42.0,geforce
msi geforce rtx 4070 ti gaming trio 12g,geforce rtx 4070,msi,12,gddr6x,pci express 4.0,999.95,ldlc.com,337.0,140.0,62.0,geforce
msi geforce rtx 4080 gaming trio 16g,geforce rtx 4080,msi,16,gddr6x,pci express 4.0,1549.94,ldlc.com,337.0,140.0,67.0,geforce
msi geforce rtx 4080 ventus 3x 16g oc,geforce rtx 4080,msi,16,gddr6x,pci express 4.0,1519.94,ldlc.com,322.0,136.0,63.0,geforce
msi geforce rtx 4090 gaming trio 24g,geforce rtx 4090,msi,24,gddr6x,pci express 4.0,2069.95,ldlc.com,337.0,140.0,77.0,geforce
msi geforce rtx 4090 gaming x trio 24g,geforce rtx 4090,msi,24,gddr6x,pci express 4.0,2199.95,ldlc.com,337.0,140.0,77.0,geforce
msi geforce rtx 4090 suprim liquid x 24g,geforce rtx 4090,msi,24,gddr6x,pci express 4.0,2399.95,ldlc.com,280.0,180.0,43.0,geforce
msi geforce rtx 4090 ventus 3x 24g oc,geforce rtx 4090,msi,24,gddr6x,pci express 4.0,2049.95,ldlc.com,322.0,136.0,62.0,geforce
pny geforce rtx 3050 8gb verto dual fan lhr,geforce rtx 3050,pny,8,gddr6,pci express 4.0,369.95,ldlc.com,229.0,114.0,44.0,geforce
pny geforce rtx 3060 12gb verto dual fan lhr,geforce rtx 3060,pny,12,gddr6,pci express 4.0,429.95,ldlc.com,247.4,118.4,40.6,geforce
pny geforce rtx 3060 ti 8gb verto dual fan lhr,geforce rtx 3060,pny,8,gddr6,pci express 4.0,519.95,ldlc.com,247.0,118.0,39.0,geforce
pny geforce gtx 1650 4gb gddr6 dual fan,geforce gtx 1650,pny,4,gddr6,pci express 3.0,219.95,ldlc.com,170.0,112.0,40.0,geforce
pny geforce rtx 3070 ti 8gb verto triple fan lhr,geforce rtx 3070,pny,8,gddr6x,pci express 4.0,799.94,ldlc.com,310.0,120.0,58.0,geforce
pny geforce rtx 4070 ti 12gb verto triple fan,geforce rtx 4070,pny,12,gddr6x,pci express 4.0,1029.95,ldlc.com,305.0,119.0,61.0,geforce
kfa2 geforce rtx 3060 8gb (1-click oc) lhr,geforce rtx 3060,kfa2,8,gddr6,pci express 4.0,379.96,ldlc.com,258.0,126.0,41.5,geforce
msi geforce rtx 3060 ventus 2x 12g oc lhr,geforce rtx 3060,msi,12,gddr6,pci express 4.0,469.96,ldlc.com,235.0,124.0,42.0,geforce
asus dual geforce rtx 3060 o12g (lhr),geforce rtx 3060,asus,12,gddr6,pci express 4.0,429.95,ldlc.com,200.0,123.0,38.0,geforce
gainward geforce rtx 4090 phantom,geforce rtx 4090,gainward,24,gddr6x,pci express 4.0,1969.94,ldlc.com,329.4,141.6,69.7,geforce
gainward geforce rtx 4080 phantom,geforce rtx 4080,gainward,16,gddr6x,pci express 4.0,1469.95,ldlc.com,356.1,150.1,71.4,geforce
kfa2 geforce rtx 3060 ti plus (1-click oc) v2 lhr,geforce rtx 3060,kfa2,8,gddr6x,pci express 4.0,529.96,ldlc.com,256.5,131.5,41.5,geforce
nvidia geforce rtx 3090 ti,geforce rtx 3090,nvidia,24,gddr6x,pci express 4.0,1329.0,ldlc.com,313.0,138.0,-1.0,geforce
kfa2 geforce rtx 3060 ti (1-click oc) lhr,geforce rtx 3060,kfa2,8,gddr6,pci express 4.0,469.96,ldlc.com,256.5,131.5,41.5,geforce
msi geforce rtx 4070 ti ventus 3x 12g oc,geforce rtx 4070,msi,12,gddr6x,pci express 4.0,899.95,ldlc.com,308.0,123.0,52.0,geforce
msi geforce rtx 4070 ti gaming x trio 12g,geforce rtx 4070,msi,12,gddr6x,pci express 4.0,1079.95,ldlc.com,337.0,140.0,62.0,geforce
msi geforce rtx 4080 gaming x trio 16g,geforce rtx 4080,msi,16,gddr6x,pci express 4.0,1569.95,ldlc.com,337.0,140.0,67.0,geforce
asus tuf gaming geforce rtx 4070 ti 12gb,geforce rtx 4070,asus,12,gddr6x,pci express 4.0,899.95,ldlc.com,305.0,138.0,65.0,geforce
kfa2 geforce gtx 1630 ex (1-click oc feature),geforce gtx 1630,kfa2,4,gddr6,pci express 3.0,179.95,ldlc.com,196.0,126.0,39.0,geforce
msi radeon rx 6750 xt mech 2x 12g oc,radeon rx 6750,msi,12,gddr6,pci express 4.0,539.95,ldlc.com,249.0,132.0,52.0,radeon
pny geforce rtx 4070 ti 12gb xlr8 gaming verto,geforce rtx 4070,pny,12,gddr6x,pci express 4.0,1089.95,ldlc.com,332.0,137.0,66.0,geforce
pny geforce rtx 4070 ti 12gb xlr8 gaming verto oc,geforce rtx 4070,pny,12,gddr6x,pci express 4.0,1149.95,ldlc.com,332.0,137.0,66.0,geforce
pny geforce rtx 4080 16gb verto triple fan,geforce rtx 4080,pny,16,gddr6x,pci express 4.0,1549.94,ldlc.com,341.0,143.0,60.0,geforce
pny geforce rtx 4080 16gb xlr8 gaming verto epic-x rgb triple fan,geforce rtx 4080,pny,16,gddr6x,pci express 4.0,1599.95,ldlc.com,332.0,137.0,72.0,geforce
pny geforce rtx 4080 16gb xlr8 gaming verto epic-x rgb triple fan oc,geforce rtx 4080,pny,16,gddr6x,pci express 4.0,1659.95,ldlc.com,332.0,137.0,72.0,geforce
pny geforce rtx 4090 24gb tf verto edition,geforce rtx 4090,pny,24,gddr6x,pci express 4.0,2079.95,ldlc.com,336.9,42.9,59.1,geforce
pny geforce rtx 4090 24gb xlr8 gaming verto epic-x rgb,geforce rtx 4090,pny,24,gddr6x,pci express 4.0,1949.95,ldlc.com,331.7,137.0,71.12,geforce
pny geforce rtx 4090 24gb xlr8 gaming verto epic-x rgb oc,geforce rtx 4090,pny,24,gddr6x,pci express 4.0,2149.96,ldlc.com,331.8,136.8,711.0,geforce
powercolor amd radeon rx 7900 xt 20gb,radeon rx 7900,powercolor,20,gddr6,pci express 4.0,1059.95,ldlc.com,276.4,112.65,51.25,radeon
powercolor fighter amd radeon rx 6700 xt 12gb gddr6,radeon rx 6700,powercolor,12,gddr6,pci express 4.0,519.95,ldlc.com,228.0,109.0,39.0,radeon
powercolor hellhound radeon rx 6650 xt 8gb gddr6,radeon rx 6650,powercolor,8,gddr6,pci express 4.0,439.96,ldlc.com,220.0,132.0,45.0,radeon
powercolor red devil amd radeon rx 6650 xt 8gb gddr6,radeon rx 6650,powercolor,8,gddr6,pci express 4.0,479.95,ldlc.com,251.2,132.8,53.6,radeon
powercolor amd radeon rx 7900 xt hellhound,radeon rx 7900,powercolor,20,gddr6,pci express 4.0,1149.95,ldlc.com,338.0,147.0,62.0,radeon
powercolor amd radeon rx 7900 xt red devil,radeon rx 7900,powercolor,20,gddr6,pci express 4.0,1249.96,ldlc.com,348.0,147.0,73.0,radeon
powercolor amd radeon rx 7900 xtx 24gb,radeon rx 7900,powercolor,24,gddr6,pci express 4.0,1159.94,ldlc.com,287.0,123.0,51.25,radeon
powercolor amd radeon rx 7900 xtx 24gb hellhound,radeon rx 7900,powercolor,24,gddr6,pci express 4.0,1299.95,ldlc.com,338.0,147.0,62.0,radeon
powercolor amd radeon rx 7900 xtx 24gb red devil,radeon rx 7900,powercolor,24,gddr6,pci express 4.0,1319.95,ldlc.com,338.0,147.0,73.0,radeon
powercolor amd radeon rx 7900 xtx 24gb red devil limited edition,radeon rx 7900,powercolor,24,gddr6,pci express 4.0,1379.95,ldlc.com,338.0,147.0,73.0,radeon
sapphire amd radeon rx 7900 xt 20gb,radeon rx 7900,sapphire,20,gddr6,pci express 4.0,1119.95,ldlc.com,276.4,112.65,51.25,radeon
sapphire gearbox 500 + sapphire pulse radeon rx6600 xt 8gb,radeon rx 6600,sapphire,8,gddr6,pci express 3.0,799.94,ldlc.com,300.0,204.0,139.0,radeon
sapphire nitro+ radeon rx 6650 xt gaming oc 8gb,radeon rx 6650,sapphire,8,gddr6,pci express 4.0,429.95,ldlc.com,260.0,130.0,57.57,radeon
sapphire pulse amd radeon rx 7900 xt 20gb,radeon rx 7900,sapphire,20,gddr6,pci express 4.0,1149.95,ldlc.com,313.0,133.75,52.67,radeon
sapphire pulse radeon rx 6600 8gb,radeon rx 6600,sapphire,8,gddr6,pci express 4.0,349.96,ldlc.com,193.0,120.0,40.05,radeon
sapphire pulse radeon rx 6650 xt gaming oc 8gb,radeon rx 6650,sapphire,8,gddr6,pci express 4.0,449.95,ldlc.com,240.0,119.85,44.75,radeon
sapphire pulse radeon rx 6700 10gb,radeon rx 6700,sapphire,10,gddr6,pci express 4.0,479.95,ldlc.com,260.0,119.85,49.0,radeon
sapphire pulse radeon rx 6700 xt 12gb,radeon rx 6700,sapphire,12,gddr6,pci express 4.0,519.95,ldlc.com,280.0,122.75,50.47,radeon
sapphire nitro+ amd radeon rx 7900 xt vapor-x 20gb,radeon rx 7900,sapphire,20,gddr6,pci express 4.0,1199.95,ldlc.com,320.0,135.75,71.6,radeon
sapphire amd radeon rx 7900 xtx 24gb,radeon rx 7900,sapphire,24,gddr6,pci express 4.0,1349.95,ldlc.com,287.0,123.2,51.25,radeon
sapphire nitro+ amd radeon rx 7900 xtx oc gaming 24gb,radeon rx 7900,sapphire,24,gddr6,pci express 4.0,1359.95,ldlc.com,320.0,135.7,71.6,radeon
sapphire pulse amd radeon rx 7900 xtx 24gb,radeon rx 7900,sapphire,24,gddr6,pci express 4.0,1279.96,ldlc.com,313.0,133.75,52.67,radeon
sapphire pulse radeon rx 6400,radeon rx 6400,sapphire,4,gddr6,pci express 4.0,219.95,ldlc.com,170.0,56.2,17.2,radeon
sapphire pulse radeon rx 6800 xt,radeon rx 6800,sapphire,16,gddr6,pci express 4.0,719.95,ldlc.com,313.0,134.8,53.4,radeon
zotac geforce rtx 4070 ti amp extreme airo,geforce rtx 4070,zotac,12,gddr6x,pci express 4.0,1099.94,ldlc.com,356.0,150.0,72.1,geforce
zotac geforce rtx 4080 amp extreme airo,geforce rtx 4080,zotac,16,gddr6x,pci express 4.0,1629.95,ldlc.com,355.5,149.6,72.1,geforce
zotac geforce rtx 4080 trinity oc,geforce rtx 4080,zotac,16,gddr6x,pci express 4.0,1579.94,ldlc.com,356.1,150.1,71.4,geforce
zotac geforce rtx 4090 amp extreme airo,geforce rtx 4090,zotac,24,gddr6x,pci express 4.0,2179.94,ldlc.com,355.5,165.8,72.1,geforce
zotac geforce rtx 4070 ti trinity oc,geforce rtx 4070,zotac,12,gddr6x,pci express 4.0,999.95,ldlc.com,307.0,120.0,59.0,geforce
zotac geforce rtx 4090 trinity oc,geforce rtx 4090,zotac,24,gddr6x,pci express 4.0,2099.95,ldlc.com,356.1,165.4,71.4,geforce
zotac geforce rtx 4070 ti trinity,geforce rtx 4070,zotac,12,gddr6x,pci express 4.0,899.95,ldlc.com,307.0,120.0,59.0,geforce
zotac geforce rtx 4080 trinity,geforce rtx 4080,zotac,16,gddr6x,pci express 4.0,1519.94,ldlc.com,356.1,150.1,71.4,geforce
zotac geforce rtx 4090 trinity,geforce rtx 4090,zotac,24,gddr6x,pci express 4.0,1949.95,ldlc.com,356.1,165.4,71.4,geforce
